"lang"
{ 
"Language" "english" 
"Tokens" 
{
"portal.glados_core.aggressive_02"   "<clr:194,40,32><I>*GNASH*"
"portal.glados_core.aggressive_panic_02"   "<clr:194,40,32><I>*GROAN*"
"portal.glados_core.aggressive_03"   "<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_04"   "<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_07"   "<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_08"   "<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_09"   "<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_11"   "<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_19"   "<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_13"   "<clr:194,40,32><I>*GRUNT*"
"portal.glados_core.aggressive_05"   "<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_10"   "<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_12"   "<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_16"   "<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_17"   "<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_18"   "<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_00"   "<clr:194,40,32><I>*PANT*"
"portal.glados_core.aggressive_14"   "<clr:194,40,32><I>*ROAR*"
"portal.glados_core.aggressive_15"   "<clr:194,40,32><I>*ROAR*"
"portal.glados_core.aggressive_20"   "<clr:194,40,32><I>*ROAR*"
"portal.glados_core.aggressive_21"   "<clr:194,40,32><I>*ROAR*"
"portal.glados_core.aggressive_01"   "<clr:194,40,32><I>*SNARL*"
"portal.glados_core.aggressive_06"   "<clr:194,40,32><I>*SNORT*"
"portal.glados_core.aggressive_panic_01"   "<clr:194,40,32><I>*YIPE*"
"portal.glados_core.death"   "<clr:219,112,147><I>*SCREAM*"
"portal.escape_01_second_hit_nag01-1"   "<clr:219,112,147><I>[More intense pain sound]"
"portal.glados.escape_02_ballhitpain-02"   "<clr:219,112,147><I>[PAIN NOISE]"
"portal.glados.core_destroy3_01"   "<clr:219,112,147><I>[pain noise] You think you're doing some damage? Two plus two is ten... IN BASE FOUR! I'M FINE!"
"portal.escape_01_first_hit_nag01-1"   "<clr:219,112,147><I>[pain sound]"
"portal.08_part1_trapped-2"   "<clr:219,112,147><I>A complimentary escape hatch will open in three... Two... One."
"portal.15_part1_partyspeech-5"   "<clr:219,112,147><I>A party associate will arrive shortly to collect you for your party."
"portal.generic_crate_vaporized_in_emancipation_grid-2"   "<clr:219,112,147><I>A replacement Aperture Science Weighted Storage Cube will be delivered shortly."
"portal.15_part1_into_the_fire-2"   "<clr:219,112,147><I>All Aperture technologies remain safely operational up to 4000 degrees Kelvin."
"portal.glados.core_destroy4_04"   "<clr:219,112,147><I>All I know is I'm the only thing standing between us and them. Well, I was."
"portal.09_part1_entry-1"   "<clr:219,112,147><I>All subjects intending to handle high-energy gamma leaking portal technology must be informed that they MAY be informed of applicable regulatory compliance issues."
"portal.glados.escape_02_miscbabble-24"   "<clr:219,112,147><I>All your other friends couldn't come either because you don't have any other friends. Because of how unlikable you are."
"portal.glados.core_destroy1_09"   "<clr:219,112,147><I>All right, keep doing whatever it is you think you're doing."
"portal.13_part1_endnag-4"   "<clr:219,112,147><I>Although the euthanizing process is remarkably painful, eight out of ten Aperture Science engineers believe that the Companion Cube is most likely incapable of feeling much pain."
"portal.07_part1_trapped-2"   "<clr:219,112,147><I>An escape hatch will open in three... Two... One."
"portal.08_part1_entry-3"   "<clr:219,112,147><I>An intubation associate will be dispatched to revive you with peptic salve and adrenaline."
"portal.glados.core_nag_15"   "<clr:219,112,147><I>Are you even listening to me?"
"portal.post_escape_bridge_07"   "<clr:219,112,147><I>Are you still listening?"
"portal.post_escape_bridge_08"   "<clr:219,112,147><I>Are you still standing there?"
"portal.post_escape_bridge_09"   "<clr:219,112,147><I>Are you still standing there?"
"portal.glados.core_destroy4_02"   "<clr:219,112,147><I>Are you trying to escape? [chuckle] Things have changed since the last time you left the building. What's going on out there will make you wish you were back in here."
"portal.08_part1_success-1"   "<clr:219,112,147><I>As part of a previously mentioned required test protocol, we can no longer lie to you."
"portal.02_part2_success-1"   "<clr:219,112,147><I>As part of a required test protocol, our previous statement suggesting that we would not monitor this chamber was an outright fabrication."
"portal.02_part1_success-2"   "<clr:219,112,147><I>As part of a required test protocol, we will not monitor the next test chamber. You will be entirely on your own.  Good luck."
"portal.07_part1_get_device_component-2"   "<clr:219,112,147><I>As part of an optional test protocol, we are pleased to present an amusing fact:"
"portal.15_part1_partyspeech-7"   "<clr:219,112,147><I>Assume the party escort submission position or you will miss the party."
"portal.generic_security_camera_destroyed-1"   "<clr:219,112,147><I>At the Enrichment Center we promise never to value your safety above your unique ideas and creativity. However, do not destroy vital testing apparatus."
"portal.03_part2_entry-1"   "<clr:219,112,147><I>Audible warning devices are required on all mobile equipment. However, alarms and flashing hazard lights have been found to agitate the high energy pellet and have therefore been disabled for your safety."
"portal.glados.broke_my_heart"   "<clr:219,112,147><I>Because despite your violent behavior, the only thing you've managed to break so far is my heart."
"portal.escape_00_part1_nag09-1"   "<clr:219,112,147><I>Because I don't think you're going where you think you're going."
"portal.00_part1_entry-4"   "<clr:219,112,147><I>Before we start, however, keep in mind that although fun and learning are the primary goals of all enrichment center activities, serious injuries may occur."
"portal.glados.not_gonna_happen"   "<clr:219,112,147><I>But we both know that isn't going to happen."
"portal.10_part1_entry-2"   "<clr:219,112,147><I>Cake and grief counseling will be available at the conclusion of the test."
"portal.post_escape_bridge_02"   "<clr:219,112,147><I>Can you hear me?"
